,virtual,downloadable,rating_count,average_rating,total_sales,tax_class,post_author,post_date,post_date_gmt,post_content,post_title,post_status,comment_status,ping_status,post_password,post_name,post_modified,post_modified_gmt,post_content_filtered,post_parent,menu_order,comment_count,idExport,id,product_id,id_web,idExport_1,onsale_web,price,stock_quantity,stock_status,idExport_2,price_z-score,millesime
0,0,0,0,0,1,,2,43550.74820601852,43550.70653935185,,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,publish,closed,closed,,maison-trimbach-riesling-cfe-2008,44002.41321759259,44002.32988425926,,0,0,0,2026-03-16 14:50:57.904,0f23c134-7eba-4599-af18-d275ea1b27dc,5819,11933,2026-03-16 14:50:57.904,1,56.0,1,instock,2026-03-16 14:50:57.904,0.8452505952603906,False
1,0,0,0,0,1,,2,43207.91208333334,43207.82875,,Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut,publish,closed,closed,,domaine-schoenheitz-cremant-dalsace-memoire-granit-extra-brut,44049.67016203704,44049.586828703694,,0,0,0,2026-03-16 14:50:57.904,550f43b1-f4be-4bd7-a77b-9f9c79c6f935,4712,15667,2026-03-16 14:50:57.904,1,15.8,0,outofstock,2026-03-16 14:50:57.904,-0.600245313654697,False
2,0,0,0,0,0,,2,43147.40532407408,43147.3636574074,,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,publish,closed,closed,,lucien-boillot-nuits-saint-georges-1ercru-pruliers-2017,43971.67711805556,43971.59378472222,,0,0,0,2026-03-16 14:50:57.904,ad9a7439-cf1b-4e9c-ad77-7a8801e7811b,4210,15720,2026-03-16 14:50:57.904,1,79.8,0,outofstock,2026-03-16 14:50:57.904,1.7010417055136016,False
3,0,0,0,0,3,,2,43209.63748842593,43209.55415509259,,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,publish,closed,closed,,domaine-de-la-monardiere-vacqueyras-les-deux-monardes-2017,44070.63543981482,44070.55210648148,,0,0,0,2026-03-16 14:50:57.904,32055a95-db19-453b-afa4-fe4e51157783,4799,15811,2026-03-16 14:50:57.904,1,14.9,56,instock,2026-03-16 14:50:57.904,-0.6326071623617513,False
4,0,0,0,0,1,,2,43404.57988425926,43404.53821759259,,Domaine Chambeyron Côte Rôtie Lancement 2017,publish,closed,closed,,domaine-chambeyron-cote-rotie-lancement-2017,44064.71184027778,44064.62850694444,,0,0,0,2026-03-16 14:50:57.904,f95292ba-e311-424f-9112-d438ac5b271b,5523,15862,2026-03-16 14:50:57.904,1,60.4,16,instock,2026-03-16 14:50:57.904,1.0034640778282111,False
5,0,0,0,0,0,,2,43953.62060185185,43953.53726851852,,Camin Larredya Jurançon Sec La Virada 2018,publish,closed,closed,,camin-larredya-jurancon-sec-la-virada-2018,44069.73266203704,44069.649328703694,,0,0,0,2026-03-16 14:50:57.904,10e36dbb-eef6-4343-965f-005892bc163b,7023,15891,2026-03-16 14:50:57.904,1,27.5,15,instock,2026-03-16 14:50:57.904,-0.1795412804629924,False
6,0,0,0,0,19,,2,43143.58903935185,43143.54737268519,,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,publish,closed,closed,,vaudieu-chateauneuf-2015,44070.67017361112,44070.58684027778,,0,0,0,2026-03-16 14:50:57.904,5a49a9df-a54c-47f6-baaf-8d4a4f507d6c,4071,15953,2026-03-16 14:50:57.904,1,33.2,16,instock,2026-03-16 14:50:57.904,0.025417094681684314,False
7,0,0,0,0,1,,2,43511.74159722222,43511.69993055556,,Triennes IGP Méditerranée Rouge Merlot 2016,publish,closed,closed,,triennes-igp-mediterranee-rouge-merlot-2016,44042.62850694444,44042.54517361112,,0,0,0,2026-03-16 14:50:57.904,afb47d78-0277-49c0-8a22-47bc0346ae0e,5739,16003,2026-03-16 14:50:57.904,1,10.7,39,instock,2026-03-16 14:50:57.904,-0.7836291229946708,False
8,0,0,0,0,0,,2,43237.52920138889,43237.44586805555,,Marcel Richaud Cairanne Rouge L'Ebrescade 2017,publish,closed,closed,,marcel-richaud-cairanne-rouge-lebrescade-2017,44029.61461805556,44029.53128472222,,0,0,0,2026-03-16 14:50:57.904,0295ea0b-49f9-4a42-909a-9d502ed31372,4931,16280,2026-03-16 14:50:57.904,1,27.8,11,instock,2026-03-16 14:50:57.904,-0.16875399756064097,False
10,0,0,0,0,10,,2,43496.59290509259,43496.55123842593,,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,publish,closed,closed,,domaine-des-terres-docre-saint-pourcain-rouge-instant-t-2015,44005.77431712963,44005.6909837963,,0,0,0,2026-03-16 14:50:57.904,0b6a24e7-41c9-4f55-b94c-25d013f241cf,5707,13557,2026-03-16 14:50:57.904,1,10.8,13,instock,2026-03-16 14:50:57.904,-0.7800333620272203,False
